Country,Continent,Capital,Flag,Outline
Nauru,Oceania,Yaren,static\countries\nr\nr.png,static\countries\nr\1024.png
New Zealand,Oceania,Wellington,static\countries\nz\nz.png,static\countries\nz\1024.png
Oman,Asia,Muscat,static\countries\om\om.png,static\countries\om\1024.png
Panama,North America,Panama City,static\countries\pa\pa.png,static\countries\pa\1024.png
Peru,South America,Lima,static\countries\pe\pe.png,static\countries\pe\1024.png
French Polynesia,Oceania,Papeetē,static\countries\pf\pf.png,static\countries\pf\1024.png
Papua New Guinea,Oceania,Port Moresby,static\countries\pg\pg.png,static\countries\pg\1024.png
Philippines,Asia,Manila,static\countries\ph\ph.png,static\countries\ph\1024.png
Pakistan,Asia,Islamabad,static\countries\pk\pk.png,static\countries\pk\1024.png
Poland,Europe,Warsaw,static\countries\pl\pl.png,static\countries\pl\1024.png
Saint Pierre and Miquelon,North America,Saint-Pierre,static\countries\pm\pm.png,static\countries\pm\1024.png
Portugal,Europe,Lisbon,static\countries\pt\pt.png,static\countries\pt\1024.png
Palau,Oceania,Ngerulmud,static\countries\pw\pw.png,static\countries\pw\1024.png
Paraguay,South America,Asunción,static\countries\py\py.png,static\countries\py\1024.png
Qatar,Asia,Doha,static\countries\qa\qa.png,static\countries\qa\1024.png
Romania,Europe,Bucharest,static\countries\ro\ro.png,static\countries\ro\1024.png
Serbia,Europe,Belgrade,static\countries\rs\rs.png,static\countries\rs\1024.png
Russia,Europe,Moscow,static\countries\ru\ru.png,static\countries\ru\1024.png
Rwanda,Africa,Kigali,static\countries\rw\rw.png,static\countries\rw\1024.png
Saudi Arabia,Asia,Riyadh,static\countries\sa\sa.png,static\countries\sa\1024.png
Solomon Islands,Oceania,Honiara,static\countries\sb\sb.png,static\countries\sb\1024.png
Seychelles,Africa,Victoria,static\countries\sc\sc.png,static\countries\sc\1024.png
Sudan,Africa,Khartoum,static\countries\sd\sd.png,static\countries\sd\1024.png
Sweden,Europe,Stockholm,static\countries\se\se.png,static\countries\se\1024.png
Singapore,Asia,Singapore,static\countries\sg\sg.png,static\countries\sg\1024.png
Slovenia,Europe,Ljubljana,static\countries\si\si.png,static\countries\si\1024.png
Slovakia,Europe,Bratislava,static\countries\sk\sk.png,static\countries\sk\1024.png
Sierra Leone,Africa,Freetown,static\countries\sl\sl.png,static\countries\sl\1024.png
San Marino,Europe,San Marino,static\countries\sm\sm.png,static\countries\sm\1024.png
Senegal,Africa,Dakar,static\countries\sn\sn.png,static\countries\sn\1024.png
Somalia,Africa,Mogadishu,static\countries\so\so.png,static\countries\so\1024.png
Suriname,South America,Paramaribo,static\countries\sr\sr.png,static\countries\sr\1024.png
South Sudan,Africa,Juba,static\countries\ss\ss.png,static\countries\ss\1024.png
São Tomé and Príncipe,Africa,São Tomé,static\countries\st\st.png,static\countries\st\1024.png
El Salvador,North America,San Salvador,static\countries\sv\sv.png,static\countries\sv\1024.png
Syria,Asia,Damascus,static\countries\sy\sy.png,static\countries\sy\1024.png
Swaziland,Africa,Mbabane,static\countries\sz\sz.png,static\countries\sz\1024.png
Chad,Africa,N'Djamena,static\countries\td\td.png,static\countries\td\1024.png
Togo,Africa,Lomé,static\countries\tg\tg.png,static\countries\tg\1024.png
Thailand,Asia,Bangkok,static\countries\th\th.png,static\countries\th\1024.png
Tajikistan,Asia,Dushanbe,static\countries\tj\tj.png,static\countries\tj\1024.png
Timor-Leste,Asia,Dili,static\countries\tl\tl.png,static\countries\tl\1024.png
Turkmenistan,Asia,Ashgabat,static\countries\tm\tm.png,static\countries\tm\1024.png
Tunisia,Africa,Tunis,static\countries\tn\tn.png,static\countries\tn\1024.png
Tonga,Oceania,Nukuʻalofa,static\countries\to\to.png,static\countries\to\1024.png
Turkey,Asia,Ankara,static\countries\tr\tr.png,static\countries\tr\1024.png
Trinidad and Tobago,North America,Port of Spain,static\countries\tt\tt.png,static\countries\tt\1024.png
Tanzania,Africa,Dodoma,static\countries\tz\tz.png,static\countries\tz\1024.png
Ukraine,Europe,Kyiv,static\countries\ua\ua.png,static\countries\ua\1024.png
Uganda,Africa,Kampala,static\countries\ug\ug.png,static\countries\ug\1024.png
United States,North America,"Washington, D.C.",static\countries\us\us.png,static\countries\us\1024.png
Uruguay,South America,Montevideo,static\countries\uy\uy.png,static\countries\uy\1024.png
Uzbekistan,Asia,Tashkent,static\countries\uz\uz.png,static\countries\uz\1024.png
